"id";"id_veiculo";"total_viagens_realizadas";"total_km_percorrido";"total_tempo_movimento";"total_tempo_parado";"mes";"ano"
1;167;31819;19605.9170000000;1730277;22274;7;2022
2;175;35537;23333.8680000000;2084887;33096;7;2022
3;5596;41733;34559.2890000000;2329003;22264;7;2022
4;5603;46036;15537.0430000000;1705353;284808;7;2022
5;7672;35956;592.3120000000;517122;30848;7;2022
6;72880;121731;19658.0430000000;2500291;1646133;7;2022
7;150653;77915;38819.1300000000;2921458;19681;7;2022
8;155905;92770;9024.3290000000;2598067;540158;7;2022
9;164573;112891;24891.5550000000;4068843;106237;7;2022
10;207756;209739;129739.9660000000;7990009;1123556;7;2022
